round,client,packets_processed,anomalies_detected,rules_generated,attack_packets,normal_packets,global_rules,time_seconds
1,client_A,500,1,0,151,349,0,0.02782917022705078
1,client_B,500,2,0,151,349,0,0.02782917022705078
1,client_C,500,1,0,151,349,0,0.02782917022705078
2,client_A,500,0,0,146,354,0,0.032308101654052734
2,client_B,500,0,0,163,337,0,0.032308101654052734
2,client_C,500,0,0,144,356,0,0.032308101654052734
3,client_A,500,0,0,152,348,0,0.03566122055053711
3,client_B,500,0,0,145,355,0,0.03566122055053711
3,client_C,500,0,0,167,333,0,0.03566122055053711
