round,client,packets_processed,anomalies_detected,rules_generated,attack_packets,normal_packets,global_rules,time_seconds
1,client_A,500,1,0,140,360,0,0.03395724296569824
1,client_B,500,1,0,154,346,0,0.03395724296569824
1,client_C,500,1,0,138,362,0,0.03395724296569824
2,client_A,500,0,0,143,357,0,0.03168892860412598
2,client_B,500,0,0,150,350,0,0.03168892860412598
2,client_C,500,0,0,151,349,0,0.03168892860412598
3,client_A,500,0,0,156,344,0,0.036049842834472656
3,client_B,500,0,0,161,339,0,0.036049842834472656
3,client_C,500,0,0,156,344,0,0.036049842834472656
