round,client,packets_processed,anomalies_detected,rules_generated,attack_packets,normal_packets,global_rules,time_seconds
1,client_A,500,6,1,144,356,0,51.85545802116394
1,client_B,500,3,2,144,356,0,51.85545802116394
1,client_C,500,5,1,148,352,0,51.85545802116394
2,client_A,500,2,0,146,354,0,36.66272592544556
2,client_B,500,2,0,141,359,0,36.66272592544556
2,client_C,500,3,1,153,347,0,36.66272592544556
3,client_A,500,1,0,148,352,0,20.98550510406494
3,client_B,500,1,0,133,367,0,20.98550510406494
3,client_C,500,2,0,167,333,0,20.98550510406494
