round,client,packets_processed,anomalies_detected,rules_generated,attack_packets,normal_packets,global_rules,time_seconds
1,client_A,500,5,0,160,340,0,47.02194809913635
1,client_B,500,3,2,147,353,0,47.02194809913635
1,client_C,500,3,2,143,357,0,47.02194809913635
2,client_A,500,2,0,178,322,0,36.509416818618774
2,client_B,500,2,0,153,347,0,36.509416818618774
2,client_C,500,3,2,164,336,0,36.509416818618774
3,client_A,500,0,0,163,337,0,15.69717788696289
3,client_B,500,1,0,150,350,0,15.69717788696289
3,client_C,500,2,0,130,370,0,15.69717788696289
